,rate,rate,rate
vaccine,johnson_johnson,moderna,pfizer_biontech
date,,,
2021-06-14,,112.41695727205415,97.75640326261997
2021-06-15,,120.41174145747165,103.73336465775763
2021-06-16,,116.7049723057794,102.81337104583713
2021-06-17,,113.03506818072823,101.82928121754244
2021-06-18,,109.70278109802335,100.77600037591712
2021-06-19,,108.17391969504772,100.04998333888705
2021-06-20,,107.56689018859385,99.78398138916585
2021-06-21,,105.15032096562321,99.03953912391653
2021-06-22,,102.3338386707335,98.27346371000738
2021-06-23,,99.59013699659151,97.58182329321185
2021-06-24,,96.90199137303897,96.87515124138932
2021-06-25,,94.5147998926196,96.09429883166615
2021-06-26,,93.32385246582295,95.66405269886533
2021-06-27,,92.82247605732567,95.35923674498669
2021-06-28,,90.70534766018153,94.71616302536516
2021-06-29,,103.36528813269538,107.81582520212531
2021-06-30,,100.53456198769453,107.12526966083222
2021-07-01,,98.1444609255869,106.5553600364006
2021-07-02,,95.749134370849,106.06242663437808
2021-07-03,,94.21389833165857,105.71303325776555
2021-07-04,,93.75953020943412,105.53115046580852
2021-07-05,,91.64763310628629,104.84119642306506
2021-07-06,,89.63676092614708,104.20190196848517
2021-07-07,,87.72473103057759,103.59755097496053
2021-07-08,,85.7964663797266,102.94372708623649
2021-07-09,,84.06628136640985,102.144894424313
2021-07-10,,83.04746939744726,101.61409225851158
2021-07-11,,82.74629227342413,101.47630708779211
2021-07-12,,81.16082490176184,100.65016939489293
2021-07-13,,79.6411449529081,99.93780196348386
2021-07-14,,78.35290575484905,99.33359206716307
2021-07-15,,77.07295345656455,98.85203852716923
2021-07-16,,75.8859483562254,98.3241340407149
2021-07-17,,75.26216510613749,97.92285499523898
2021-07-18,,75.09634144863607,97.8369299240325
2021-07-19,,73.92492910401718,97.12517933243896
2021-07-20,,72.94458492213727,96.63903880299533
2021-07-21,,94.96990497917281,114.05297593006986
2021-07-22,,94.01792498010536,113.54836555059478
2021-07-23,,93.05342464044705,112.9724491208639
2021-07-24,,92.52500053154921,112.64098240605831
2021-07-25,,92.41277327865726,112.59202431766957
2021-07-26,,91.61037067289237,112.16325251439498
2021-07-27,,90.96141090171291,111.82493915407723
2021-07-28,,90.46384287355573,111.45340844601031
2021-07-29,,89.969611566281,111.10475708088589
2021-07-30,,89.50734621859745,110.70733985593121
2021-07-31,,89.35755307465617,110.53405830671575
2021-08-01,,89.3458114060827,110.47741542419064
2021-08-02,,89.04755944547004,110.1254701588317
2021-08-03,,88.61577476184723,109.84610103552835
2021-08-04,,88.31469118777679,109.52821660278639
2021-08-05,,87.96067339268798,109.242139352004
2021-08-06,,87.5844732285361,108.90919962415649
2021-08-07,,87.48794988357837,108.76171587601165
2021-08-08,,87.4794493652798,108.7372223769477
2021-08-09,,87.17586587403738,108.44106009109846
2021-08-10,,109.09860397705835,128.19127676258034
2021-08-11,,108.7243408566112,127.80067851983817
2021-08-12,,108.32600478233377,127.47014601725
2021-08-13,,107.91168026285825,127.1203430014467
2021-08-14,,107.80162922157295,126.96436988515437
2021-08-15,,107.7959234796879,126.95253524344166
2021-08-16,,107.44601894313618,126.61741637620169
2021-08-17,,107.12357041978129,126.28455684829268
2021-08-18,,106.78597342302616,125.87294252409745
2021-08-19,,106.46421906108884,125.58066447365859
2021-08-20,,106.04851711572613,125.21227494647401
2021-08-21,,105.93737127349385,125.05148513186984
2021-08-22,,105.92949986350958,125.03394147842614
2021-08-23,,105.65643774438489,124.73645071265534
2021-08-24,,105.36530817504973,124.42916351947954
2021-08-25,,105.08615045298573,123.97499474356279
2021-08-26,,104.75603249705284,123.69936576891882
2021-08-27,,104.36566111938299,123.37582803425434
2021-08-28,,104.2359069334521,123.177103070702
2021-08-29,,104.22000432899195,123.17467110961654
2021-08-30,,104.03077204221385,122.90656876508132
2021-08-31,,103.80527535940084,122.66670049409181
2021-09-01,,135.79585756284666,138.46467886748405
2021-09-02,,135.4778209442155,138.13800560496063
2021-09-03,,135.1090098345402,137.76590359907922
2021-09-04,,134.97247321512407,137.5464870715091
2021-09-05,,134.96514080902463,137.51592636527394
2021-09-06,,134.7105275117574,137.22782261221397
2021-09-07,,134.40738321208627,136.92201069753983
2021-09-08,,134.13188303624898,136.38182928430973
2021-09-09,,133.7818459466871,136.05940660462542
2021-09-10,,133.30541921576838,135.55609863237447
2021-09-11,,133.09146895451047,135.26294474406842
2021-09-12,,133.0786529517421,135.2076032215325
2021-09-13,,132.78969270215902,134.82338505767993
2021-09-14,,132.45327000559027,134.4053865213052
2021-09-15,,132.10388812048564,133.76264365289845
2021-09-16,,131.68448911136562,133.30429153423444
2021-09-17,,131.15782638097167,132.74009235463112
2021-09-18,,130.94488402481556,132.3433654960128
2021-09-19,,130.93638709402256,132.2974161849676
2021-09-20,,130.65406372744675,131.86117443710745
2021-09-21,,130.32243431876662,131.38918123131631
2021-09-22,,153.34060214162682,141.51742974265434
2021-09-23,,152.82735121262624,140.96800008561533
2021-09-24,,152.17584444086933,140.36653960071018
2021-09-25,,151.85123730305014,139.87713702000931
2021-09-26,,151.82418101035847,139.81626338529907
2021-09-27,,151.42659080801766,139.26398601603972
2021-09-28,,151.0142078455902,138.87945193283178
2021-09-29,,150.60147019115695,138.13627309383887
2021-09-30,,150.0774808295999,137.66866734291344
2021-10-01,,149.478373545571,137.03919054978667
2021-10-02,,149.2405071115898,136.56921542108938
2021-10-03,,149.20023377646098,136.47841931397002
2021-10-04,,148.77419744830243,135.8944848962823
2021-10-05,,148.32936374309588,135.41792794007114
2021-10-06,,147.86553044498777,134.69210838312094
2021-10-07,,147.29594282477012,134.22720005797075
2021-10-08,,146.5922930041647,133.5885281766997
2021-10-09,,146.23551705936816,133.09860973421817
2021-10-10,,146.1873221856129,133.00341455834845
2021-10-11,,145.70355562657127,132.5070319263147
2021-10-12,,172.39281281450377,143.63149217966082
2021-10-13,,171.67364842286062,142.8706809744246
2021-10-14,,170.97201323592006,142.31614277985713
2021-10-15,,170.11929824164852,141.58082848399775
2021-10-16,,169.7820636712347,141.1086498288688
2021-10-17,,169.7590385903656,141.03863079828523
2021-10-18,,169.2256150413775,140.5413184934494
2021-10-19,,168.65361975037248,140.08128844356537
2021-10-20,,168.1221335678834,139.40085749371534
2021-10-21,,167.61250860889692,138.9123133534176
2021-10-22,,167.03725949034356,138.4057037323369
2021-10-23,,166.75155181968566,138.06214938881524
2021-10-24,,166.7291566401181,138.00405875397
2021-10-25,,166.37321316661198,137.6746968005853
2021-10-26,,166.0144833230028,137.3259787405748
2021-10-27,,165.67762727404306,136.84552486469386
2021-10-28,,165.34563168704446,136.56179977645817
2021-10-29,,164.92768081439925,136.20407999374453
2021-10-30,,164.7832406604357,136.01386518377436
2021-10-31,,164.77350006444803,135.9980080353827
2021-11-01,,164.6339212595411,135.80150013775054
2021-11-02,,164.37458623113724,135.60177891860474
2021-11-03,134.67135844302533,184.7405957986439,148.783049123597
2021-11-04,130.8734749018449,184.49817829487966,148.5750940975596
2021-11-05,126.44803393702072,184.18788958510842,148.28165878795042
2021-11-06,125.40960394837978,184.04568091470458,148.10403328814462
2021-11-07,125.32341526520052,184.03868369841445,148.09320207800621
2021-11-08,121.27376574602926,183.84188024913735,147.90314039842548
2021-11-09,117.24216179418327,183.65206645836327,147.72157063201385
2021-11-10,111.7560113919031,183.46875332481278,147.4364775007255
2021-11-11,107.76985920389363,183.28684675494114,147.25436828655128
2021-11-12,103.81433977428753,183.03349456233605,147.00125223288939
2021-11-13,101.4763167370454,182.9215955448861,146.82493030347445
2021-11-14,101.07267451338399,182.91335056934716,146.81367713108986
2021-11-15,99.48971404730574,182.7712293219314,146.64978943987023
2021-11-16,97.76404175470687,182.642076508623,146.51601960162114
2021-11-17,95.84466979965373,182.51467900631434,146.2781120990832
2021-11-18,93.72637944066516,182.36478446403805,146.15406029898944
2021-11-19,91.70512365400545,182.16943719939152,145.9732995011678
2021-11-20,90.69631363370392,182.07977173531935,145.86657350414728
2021-11-21,90.5664787168775,182.07341236524834,145.85366581452456
2021-11-22,89.180403325566,181.95384112693785,145.73759932390092
2021-11-23,116.2395100929916,191.1819633703408,154.480896410464
